call_id,timestamp,rep_name,handle_time,wait_time,call_type,outcome
1,2025-11-01 12:13:00,Bob C,3.09,1.4,Billing,Dropped
2,2025-11-01 09:25:00,Eli F,6.49,5.72,Billing,Dropped
3,2025-11-01 13:43:00,Eli F,5.51,2.24,Billing,Escalated
4,2025-11-01 08:40:00,Eli F,4.78,2.97,Sales,Dropped
5,2025-11-01 12:42:00,George H,3.38,0.02,Sales,Escalated
6,2025-11-01 09:08:00,Bob C,6.85,1.58,Sales,Resolved
7,2025-11-01 09:40:00,Julia K,2.8,3.87,Billing,Resolved
8,2025-11-01 15:45:00,Eli F,4.72,1.71,Support,Resolved
9,2025-11-01 10:09:00,George H,4.35,2.81,Support,Resolved
10,2025-11-01 15:20:00,Bob C,1.08,3.54,Sales,Resolved
11,2025-11-01 14:29:00,Dana E,4.4,1.28,Sales,Dropped
12,2025-11-01 12:57:00,Eli F,4.78,0.11,Sales,Resolved
13,2025-11-01 08:27:00,Alice B,8.39,0.65,Billing,Escalated
14,2025-11-01 15:03:00,Bob C,7.32,0.27,Support,Dropped
15,2025-11-01 08:51:00,Dana E,3.59,2.96,Sales,Dropped
16,2025-11-01 09:28:00,Ian J,6.6,1.27,Support,Escalated
17,2025-11-01 09:09:00,George H,6.4,0.91,Support,Dropped
18,2025-11-01 10:34:00,Hannah I,3.89,0.18,Billing,Resolved
19,2025-11-01 08:39:00,Hannah I,6.2,0.76,Billing,Escalated
20,2025-11-01 11:38:00,Hannah I,7.84,0.92,Support,Escalated
21,2025-11-01 09:02:00,George H,4.4,4.67,Sales,Resolved
22,2025-11-01 11:22:00,Bob C,6.98,4.86,Sales,Dropped
23,2025-11-01 08:17:00,Julia K,3.98,5.79,Sales,Dropped
24,2025-11-01 13:01:00,Eli F,5.89,6.26,Sales,Resolved
25,2025-11-01 08:54:00,Charlie D,7.2,1.33,Support,Escalated
26,2025-11-01 11:17:00,Julia K,5.16,2.11,Billing,Dropped
27,2025-11-01 09:44:00,Ian J,5.07,9.8,Billing,Dropped
28,2025-11-01 13:19:00,George H,7.83,0.01,Billing,Resolved
29,2025-11-01 10:37:00,Ian J,5.0,1.89,Sales,Dropped
30,2025-11-01 09:23:00,Eli F,4.09,2.43,Support,Escalated
31,2025-11-01 14:38:00,Ian J,3.6,1.25,Billing,Dropped
32,2025-11-01 11:34:00,Alice B,2.62,1.85,Sales,Escalated
33,2025-11-01 14:39:00,Alice B,6.38,1.62,Support,Escalated
34,2025-11-01 12:20:00,Hannah I,4.84,0.99,Sales,Resolved
