rep_name,shift_start,shift_end,max_calls_per_shift
Alice B,2025-11-08 08:00:00,2025-11-08 16:00:00,10
Bob C,2025-11-08 08:00:00,2025-11-08 16:00:00,11
Charlie D,2025-11-08 08:00:00,2025-11-08 16:00:00,12
Dana E,2025-11-08 08:00:00,2025-11-08 16:00:00,13
Eli F,2025-11-08 08:00:00,2025-11-08 16:00:00,13
Fiona G,2025-11-08 08:00:00,2025-11-08 16:00:00,19
George H,2025-11-08 08:00:00,2025-11-08 16:00:00,18
Hannah I,2025-11-08 08:00:00,2025-11-08 16:00:00,13
Ian J,2025-11-08 08:00:00,2025-11-08 16:00:00,17
Julia K,2025-11-08 08:00:00,2025-11-08 16:00:00,17
